10000 50000
7136 9247 824
5253 6563 868
9192 877 333
8476 2402 981
5790 4084 892
6916 189 374
1786 8696 192
1134 5314 444
3289 8270 686
341 3694 143
6893 6505 796
7433 766 829
659 563 887
4354 4479 644
8884 586 637
1646 4105 125
8524 223 445
3877 645 295
1852 5003 356
2735 1972 62
9736 8417 924
4397 1384 478
9670 8746 955
2431 7208 127
8382 2152 907
4810 6660 592
4723 4491 250
1439 8950 295
7440 9993 712
9341 3630 666
6334 3296 562
6009 7551 914
8978 4975 628
7829 7683 839
5087 507 249
5466 3630 194
8395 8944 393
9595 6495 13
5777 2659 883
3908 5307 571
5332 8051 277
4666 3541 303
932 356 163
9029 1094 621
5701 7208 674
1016 8470 398
7207 5801 754
1789 8534 231
2531 6828 346
5774 2299 692
3317 4534 841
8483 1557 757
7786 4402 804
2085 6767 892
1693 70 421
9010 9598 121
8157 6512 986
9370 2451 428
4576 9950 114
6218 7410 710
7502 4719 741
5777 4799 362
6400 8619 569
9755 6299 664
5275 110 806
8184 6236 455
4915 3018 550
4981 2375 447
9427 6176 596
3800 1440 842
5408 5306 993
9962 3975 982
5338 3347 996
6986 175 27
777 4203 579
8148 4912 943
8789 5118 552
7162 8477 846
8474 7046 399
7606 5860 42
9743 5752 464
170 1118 538
3756 1621 420
6134 8206 411
9196 9405 158
3083 6901 499
6580 7211 786
9624 5624 709
8685 1511 175
5942 5211 376
1230 5089 525
2876 1810 672
4831 5625 841
8337 6895 647
2562 8586 297
8382 3404 518
3081 6754 187
985 9256 618
1746 5786 584
693 6740 11
45 5025 728
9059 64 940
4988 6513 863
1613 9604 16
483 3221 180
8156 9064 581
4358 8707 527
2354 9412 204
6735 9858 125
2381 2568 531
8347 1747 30
1640 1247 175
8560 8035 843
7659 7055 826
1017 204 701
9483 5289 148
3903 5797 283
2775 538 274
1629 9539 65
5716 3140 461
6318 320 56
3605 6487 597
719 7203 56
3904 4085 229
720 2611 954
9617 2843 323
100 7461 311
6854 9872 259
8119 1106 249
6386 9581 227
6774 5065 409
7936 367 812
3987 1433 178
2784 5871 389
3056 125 995
4762 6488 576
5946 1882 344
8744 6317 344
6605 1072 985
2019 6918 846
5754 9074 251
6346 3132 479
4646 5643 243
7136 572 286
414 5593 825
2554 3961 723
2127 1517 202
4418 8927 856
2093 9092 454
7652 3935 164
6027 5782 222
6638 6175 645
9514 3408 305
7798 8271 210
3723 7416 692
2145 4272 611
7214 9626 377
8759 4034 414
9964 8359 218
2056 2011 695
8405 1498 556
4430 6304 30
9300 2376 319
245 6388 728
1409 2900 795
3793 5259 193
1785 1115 576
5922 8197 777
4865 3159 68
5099 1440 232
4727 2066 837
6536 4626 365
6608 7609 794
2165 4530 181
484 6006 696
5757 6759 26
7578 4070 868
6562 5769 928
1600 2976 299
1887 4438 935
9976 3591 730
662 6629 41
9970 2654 442
3245 4965 160
6238 642 566
5094 2943 579
3729 9341 510
8532 4173 948
7125 9425 358
15 1832 855
4691 703 897
9586 9951 713
775 4005 698
1821 608 811
5219 3442 796
5663 1411 428
6449 3617 288
8639 1473 358
6946 7250 953
5575 8242 757
7418 8333 56
3374 7018 690
8386 2091 502
3101 715 976
9160 4279 179
8952 2681 993
3866 8911 267
4090 972 173
5862 5689 422
1516 3299 652
5088 2247 140
7969 7909 244
3960 96 528
7291 2180 959
5758 4904 137
2324 9626 577
3944 5465 645
1932 8982 435
2772 2536 614
7555 6653 852
3380 1875 707
4740 202 370
7972 3382 45
988 4601 312
3229 1811 719
5061 7340 986
1851 2643 333
7292 7678 583
5946 4743 173
9134 1176 47
177 7676 769
7954 1375 766
5434 9234 271
1782 8009 980
7114 8001 195
8897 5272 9
5886 1490 660
4685 4119 669
4030 1280 142
453 414 794
6476 2377 304
6027 3043 986
8608 2760 105
5084 5352 389
3023 5836 328
3772 6037 140
9029 6050 858
4154 3921 60
675 1756 581
6606 828 968
3546 8099 434
8184 2580 307
9873 9521 642
1314 2324 705
3727 2681 142
7261 6576 92
654 7200 491
3126 3576 741
6102 45 33
8376 6970 147
4640 1179 678
906 8431 728
6901 5548 65
7187 144 683
2888 2694 388
4845 68 454
9230 5703 582
3201 7681 88
8891 5303 530
7544 7018 995
8760 2529 998
6575 9979 635
1334 983 741
5431 9980 675
4866 9257 585
6899 6039 493
2242 4903 887
5626 8690 907
456 3094 228
7329 1396 151
9487 6095 569
9515 6821 369
8683 3936 579
7231 6493 268
1871 3723 185
3323 8980 768
1839 3625 883
4153 1555 193
8696 4121 727
8016 3719 568
7506 3711 555
9383 1851 754
8408 9641 581
1314 6685 696
1203 7201 138
8243 9020 520
1877 8440 105
7536 6421 558
2805 3139 577
7784 1525 141
6117 942 415
3881 773 382
683 248 719
9737 3491 471
4914 1974 725
2221 6979 931
1436 3303 577
1879 5810 173
6012 5593 824
190 4188 126
3920 6111 526
8596 5848 740
8011 712 837
9892 5790 103
5828 8992 336
9880 1850 35
3972 4171 363
3164 7319 22
9525 7206 117
343 7996 114
1208 4233 190
2461 9080 954
4751 6239 857
2363 9638 897
4100 8821 707
4402 7275 15
405 5609 155
7981 8221 496
518 580 77
2986 9829 402
7794 2593 710
7349 6445 235
8470 1243 370
5394 8655 222
5099 2145 604
715 3463 174
5914 7663 340
9454 7674 398
5794 5150 7
5496 9488 496
5468 3712 22
4075 7526 898
9972 743 647
2389 2353 280
6298 4478 66
8192 4293 366
9321 9396 541
9575 2278 716
558 9185 925
1560 3264 793
6983 9367 650
1621 5945 811
4613 3900 894
2312 1180 312
5595 5941 522
4017 5741 894
9023 6651 343
990 5524 688
5295 7888 516
6017 3988 829
3847 5721 155
2221 3364 8
7424 6635 457
6489 9318 791
4954 2767 601
1086 2356 309
5054 4130 745
9369 9032 675
5578 1204 944
3116 9557 947
1311 9583 184
4984 9510 362
7665 5848 994
7016 1109 859
7938 5230 921
2871 4519 920
4219 8953 24
2696 4391 243
328 3576 49
6546 7338 206
9877 4630 885
8223 1631 202
3960 930 987
2113 9847 50
1299 1203 829
9428 5589 737
2239 82 193
4434 8797 658
245 5290 946
451 3477 330
5353 443 665
7967 6640 625
5534 2859 59
6787 744 90
5480 8099 613
6546 4210 963
7591 222 27
5191 9242 670
5135 917 426
5393 2567 96
304 2559 216
2337 8675 786
1472 5862 834
5926 6934 353
8825 9641 887
9093 2513 674
9856 9420 339
3768 4224 833
7824 518 795
5066 9002 724
7424 9163 285
5920 8574 543
4488 2160 259
148 9144 488
1634 5939 155
3738 6567 775
1473 457 640
2197 2002 62
8900 8222 210
9097 2978 266
9929 5990 756
2446 2907 892
2655 8658 30
5747 3974 453
8174 3492 652
5639 6373 472
3474 5305 809
433 1766 676
252 1072 827
6583 5745 62
3737 9243 386
6716 6153 968
3671 503 258
340 4297 727
7107 3962 237
5804 3329 334
6973 4565 306
8169 3548 584
2567 7821 884
4379 2236 843
4916 4629 91
5431 64 498
4091 2647 328
9998 9790 980
7422 3474 594
854 3437 872
5904 756 799
7193 2986 446
2290 4875 702
400 1827 156
154 2185 934
4959 2470 515
5761 1598 770
2764 7610 700
6507 1478 425
5563 6499 904
5499 539 600
3843 3299 812
251 620 139
8270 9751 238
9418 7053 716
1718 326 50
5185 1057 900
1807 1973 981
7984 2225 539
7020 42 184
3668 8854 152
8937 8203 116
8682 5792 860
8130 1266 358
3524 3669 749
1186 4472 721
2903 249 271
4407 1129 990
707 3218 521
784 6686 809
9119 5941 274
173 5336 705
678 7434 558
4622 8991 339
6723 4400 409
6913 5214 553
6867 6274 997
2477 6341 780
6314 6716 824
2343 86 245
9958 8209 949
4172 6176 247
3250 1903 89
551 811 416
9150 5314 702
7248 8993 685
5171 7462 995
9465 15 485
7710 8357 351
9704 8948 390
3840 6206 364
1050 6447 1000
8622 4364 628
5277 1179 644
8897 3657 947
4340 4297 931
7754 5697 535
9658 7808 585
3624 2327 68
8663 5965 537
3356 8642 174
5993 3909 690
2823 2497 842
7541 2911 656
708 5275 391
5927 7013 126
6717 2520 720
4120 6146 106
5976 5843 679
8562 8541 310
7418 1441 282
6480 4759 457
1831 7361 650
7837 2859 778
8476 2455 7
2138 6011 501
8531 3893 638
6074 8575 349
6244 4142 19
9112 3290 1
9347 4254 60
9676 2923 314
8923 4498 939
5308 4188 248
4348 7177 94
8604 8083 880
1455 3304 132
6932 4758 633
6088 719 735
7250 6155 376
684 4837 994
6683 7060 664
9952 4207 361
3909 6313 871
9481 2121 948
3139 9506 382
1038 3328 338
1159 1309 775
7299 6216 403
8614 6794 509
419 1766 608
9232 7578 958
7572 7145 425
7759 2887 912
1066 7206 408
8048 2216 525
155 3807 759
3280 6581 555
664 4816 568
5409 6348 789
7534 1935 93
3616 1263 585
253 1666 509
1445 3532 578
7442 901 844
3274 5498 495
897 9017 708
6847 9567 144
6667 820 893
2384 5250 343
3117 8490 7
3049 8829 282
8519 4298 89
5128 6286 262
4895 9104 405
8371 6884 698
838 5027 312
4071 6229 822
7145 8840 264
4996 3309 135
853 3399 550
6124 7605 673
8011 9564 145
5992 5599 206
7478 9111 680
838 5148 9
8733 1108 419
9255 5301 37
4481 3599 816
7194 4776 206
3430 9700 626
7448 6651 958
7288 3340 900
3329 945 185
7106 2039 51
2244 1178 834
9769 8145 185
232 9192 755
2689 8162 227
4831 3457 548
2604 2388 797
3389 8457 104
7629 1560 207
1499 824 425
3666 4220 724
7248 6956 159
928 2185 43
2623 7312 301
3812 9536 817
5222 9184 737
2522 5071 934
4227 5314 562
3515 2488 969
3781 6414 998
539 5367 390
2555 4768 229
8941 1533 203
7609 2439 746
3013 7042 342
6576 1873 40
5764 2000 674
3448 8590 539
1194 4763 502
5700 291 769
8135 1523 206
7942 4587 885
4963 9793 598
8859 1448 207
2288 7707 278
3722 9482 947
4912 530 595
9810 1649 991
21 5640 200
2493 4915 52
2817 5458 359
7366 7881 254
5399 5964 184
1796 4886 829
1137 9161 466
1567 9036 116
2643 9758 403
7559 588 35
648 8410 594
1592 6766 663
2162 6804 592
5781 1249 384
2685 5889 174
1475 5433 6
7868 4970 153
4280 1540 110
3911 1918 157
8128 4431 549
8864 1926 333
7664 4029 168
9312 8773 44
8303 4198 376
3239 4644 414
9097 3333 131
3930 8762 514
3926 1556 16
1732 879 501
9345 3455 706
3756 1426 769
2806 2517 862
4328 506 435
6443 8488 113
4783 9335 912
1978 1381 680
9478 3565 240
3990 9753 794
8404 1018 842
4026 1196 614
5526 1606 43
3520 2862 835
4974 5604 87
7565 9697 943
2995 176 326
6749 6670 34
1442 4011 152
8378 2738 155
5641 2299 209
3247 3598 703
5424 1095 3
7859 618 510
8610 5406 930
1131 9887 652
1026 3261 888
824 5990 806
6739 1513 667
5721 9548 167
8070 8130 139
4248 4963 927
864 7637 853
9672 2698 446
6321 8404 307
9725 8710 671
1897 1114 992
4128 3802 246
3244 9627 469
9201 3877 899
8071 9420 930
822 6422 680
6468 5613 846
6209 6655 971
1427 3741 669
5563 9746 926
6989 4993 5
4922 8012 619
267 1812 900
7788 6859 421
9908 4906 469
2389 5495 559
3500 1361 363
6453 7633 635
533 4786 344
1441 4440 192
7242 6675 677
8817 3960 124
3544 680 385
3016 6384 278
5450 2472 372
2742 3673 360
9998 6461 316
8186 5218 979
8302 9938 194
2657 6405 540
148 5 874
2872 1699 968
4028 7447 579
4109 5772 693
1653 9055 753
8419 6171 139
4150 6816 78
8425 5425 455
4363 4846 371
5002 6158 961
8555 977 929
8161 8082 373
294 933 897
1950 9132 387
7335 5097 770
8396 2495 747
9946 7518 36
5328 7904 141
115 4447 148
3074 9626 941
9449 8322 48
6426 2843 766
9659 4601 643
3960 4770 792
8917 422 431
8981 6677 665
1381 6233 505
5902 4546 332
2652 9423 508
791 8722 356
2291 3289 529
1010 2656 316
8528 2796 698
5111 876 602
4876 6274 796
5900 3066 279
5069 7778 203
5257 7181 413
1776 4263 371
6454 5236 395
7742 4372 116
3341 7376 514
6688 2618 798
5156 720 156
4569 8776 482
9154 6745 771
1252 4511 402
5943 6480 543
4724 1984 266
7367 192 43
8719 9281 313
5794 9865 963
5895 4350 250
1144 8987 99
9875 6762 855
1823 5029 170
2890 1930 794
6616 6463 862
5599 6553 402
8188 5518 359
3043 2349 545
8539 6777 686
4730 2188 219
5549 1080 947
6769 1094 515
50 9401 684
3859 9467 443
6613 3505 588
4486 2170 155
3640 3911 513
2047 4630 921
548 6241 900
4710 2150 663
6296 4506 730
1102 9885 620
8340 4473 623
3491 3667 317
1537 5894 693
9322 1288 369
382 8474 74
1996 5327 224
56 7499 645
2273 7321 282
8247 968 457
9670 9091 610
528 648 551
7660 1811 496
3677 4819 645
5572 5423 544
9313 3773 224
9119 3423 289
9462 8799 731
499 3653 797
2835 464 831
8268 4391 435
6134 1033 978
4484 1466 599
1841 6555 400
8390 9646 419
3707 896 824
6084 8708 338
4124 1169 658
7829 9430 137
7066 7437 993
7449 3125 350
3111 1833 413
2712 4629 778
3181 1252 754
8457 270 450
3239 3223 792
4351 3296 574
4853 375 943
258 1027 363
3369 6847 14
8810 4321 572
5822 2681 579
5172 5809 314
1724 724 758
2870 5820 432
481 7455 792
1673 5618 110
2521 5961 797
7721 7962 85
5531 5218 488
2102 1783 541
9231 4116 521
6371 3428 363
4127 347 961
3163 4559 969
8503 7155 794
6293 2637 832
7154 2192 142
210 1820 220
9590 8704 389
452 149 833
1409 7597 800
708 3341 911
9385 8752 936
1162 5298 347
9168 7565 497
3370 120 250
3349 5809 392
1704 1606 606
2068 3275 451
7477 9372 600
7202 1106 584
880 7711 174
6557 3928 735
7693 7728 621
2322 1939 931
8158 9815 391
1027 3909 820
3747 80 402
9274 3672 650
627 3975 97
3278 15 39
7643 797 412
3939 3597 794
